feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
ZFeatureMap,RealAmplitudes,2,2,0.01,absolute_error,0.9166666666666666,0.7122641509433962,0.5505050505050505,0.5689578713968958,29.674894094467163
ZFeatureMap,RealAmplitudes,2,3,0.001,weightedcross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,47.88178777694702
ZFeatureMap,RealAmplitudes,2,2,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,29.510804891586304
ZFeatureMap,RealAmplitudes,2,3,0.01,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,47.68892478942871
ZFeatureMap,EfficientSU2,1,3,0.001,cross_entropy,0.9074074074074074,0.45794392523364486,0.494949494949495,0.47572815533980584,139.85477542877197
ZFeatureMap,EfficientSU2,1,3,0.01,squared_error,0.8981481481481481,0.5865384615384616,0.5404040404040404,0.5498294808639637,138.54981970787048
ZFeatureMap,EfficientSU2,1,3,0.01,cross_entropy,0.8981481481481481,0.45754716981132076,0.4898989898989899,0.47317073170731705,140.2907738685608
ZFeatureMap,EfficientSU2,2,3,0.01,absolute_error,0.8981481481481481,0.45754716981132076,0.4898989898989899,0.47317073170731705,151.35646986961365
ZFeatureMap,RealAmplitudes,1,3,0.01,cross_entropy,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,42.166743755340576
ZFeatureMap,RealAmplitudes,2,3,0.001,cross_entropy,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,47.62127614021301
ZFeatureMap,RealAmplitudes,2,3,0.001,squared_error,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,47.28504490852356
ZFeatureMap,EfficientSU2,1,3,0.001,weightedcross_entropy,0.8888888888888888,0.45714285714285713,0.48484848484848486,0.47058823529411764,140.2705180644989
ZFeatureMap,EfficientSU2,1,3,0.01,absolute_error,0.8888888888888888,0.45714285714285713,0.48484848484848486,0.47058823529411764,139.77897191047668
ZFeatureMap,EfficientSU2,1,2,0.01,cross_entropy,0.8703703703703703,0.6275303643724697,0.6767676767676767,0.6457357075913777,80.77645874023438
ZFeatureMap,RealAmplitudes,2,2,0.01,squared_error,0.8703703703703703,0.4563106796116505,0.47474747474747475,0.46534653465346537,29.530352354049683
ZFeatureMap,EfficientSU2,2,2,0.001,absolute_error,0.8611111111111112,0.5225,0.5202020202020202,0.5211350872007094,88.34643864631653
PauliFeatureMap,EfficientSU2,1,3,0.01,squared_error,0.8518518518518519,0.5838056680161944,0.6161616161616161,0.5951265229615745,154.93010568618774
ZFeatureMap,EfficientSU2,1,2,0.01,squared_error,0.8518518518518519,0.5151515151515151,0.5151515151515151,0.5151515151515151,80.77099299430847
ZFeatureMap,RealAmplitudes,2,3,0.01,squared_error,0.8518518518518519,0.5151515151515151,0.5151515151515151,0.5151515151515151,47.506535053253174
ZFeatureMap,EfficientSU2,1,2,0.01,absolute_error,0.8425925925925926,0.5978260869565217,0.6616161616161615,0.6154973821989529,81.05758023262024
ZFeatureMap,EfficientSU2,1,2,0.01,weightedcross_entropy,0.8333333333333334,0.625615763546798,0.7575757575757576,0.6516129032258065,80.83436965942383
