feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
ZFeatureMap,EfficientSU2,2,2,0.0001,cross_entropy,0.9444444444444444,0.9714285714285714,0.6666666666666666,0.7352941176470589,124.97735929489136
ZFeatureMap,EfficientSU2,2,2,0.0001,squared_error,0.9444444444444444,0.9714285714285714,0.6666666666666666,0.7352941176470589,124.77909088134766
ZFeatureMap,EfficientSU2,1,2,0.0001,cross_entropy,0.9259259259259259,0.9626168224299065,0.5555555555555556,0.5805825242718446,154.0934555530548
ZFeatureMap,EfficientSU2,1,3,0.0001,cross_entropy,0.9259259259259259,0.9626168224299065,0.5555555555555556,0.5805825242718446,153.66787838935852
ZFeatureMap,EfficientSU2,1,3,0.0001,squared_error,0.9259259259259259,0.9626168224299065,0.5555555555555556,0.5805825242718446,167.83639311790466
ZZFeatureMap,RealAmplitudes,1,3,0.0001,squared_error,0.9259259259259259,0.7587044534412956,0.8585858585858586,0.7975632614807873,64.72257614135742
ZFeatureMap,EfficientSU2,2,3,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,181.53137302398682
ZFeatureMap,RealAmplitudes,1,2,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,43.54413890838623
ZFeatureMap,RealAmplitudes,1,3,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,46.6324577331543
ZFeatureMap,RealAmplitudes,2,2,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,55.968244552612305
ZFeatureMap,RealAmplitudes,2,3,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,71.16979646682739
ZZFeatureMap,EfficientSU2,1,2,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,228.38994455337524
ZZFeatureMap,EfficientSU2,1,3,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,186.70158982276917
PauliFeatureMap,EfficientSU2,1,3,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,186.71190404891968
ZFeatureMap,EfficientSU2,1,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,113.65631771087646
ZFeatureMap,EfficientSU2,1,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,153.85793280601501
ZFeatureMap,EfficientSU2,2,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,106.47536182403564
ZFeatureMap,EfficientSU2,2,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,181.92811131477356
ZFeatureMap,RealAmplitudes,1,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,33.66669487953186
ZFeatureMap,RealAmplitudes,1,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,46.796295166015625
ZFeatureMap,RealAmplitudes,2,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,35.353864669799805
ZFeatureMap,RealAmplitudes,2,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,56.98141145706177
ZZFeatureMap,EfficientSU2,1,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,202.27791476249695
PauliFeatureMap,EfficientSU2,1,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,109.61373472213745
PauliFeatureMap,EfficientSU2,1,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,202.4916045665741
ZFeatureMap,EfficientSU2,1,2,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,121.46381688117981
ZFeatureMap,EfficientSU2,2,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,182.85956621170044
ZFeatureMap,RealAmplitudes,1,2,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,31.174421310424805
ZFeatureMap,RealAmplitudes,1,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,50.675604581832886
ZFeatureMap,RealAmplitudes,2,2,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,41.452221393585205
ZFeatureMap,RealAmplitudes,2,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,52.541353702545166
ZZFeatureMap,EfficientSU2,1,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,172.21628594398499
